Broad_Category,Sub_category,Platform,Threat,Link,Description
VirWare,Virus,MSWord,Wordde,https://threats.kaspersky.com/en/threat/Virus.MSWord.Wordde/,"['\nThis is a dangerous Word macro virus. It contains six macros: WordDE,', '\nAutoExec, FileOpen, FilePrint, FileSaveAs, AutoOpen (WordSU in NORMAL.DOT).', '\nIt infects the system on opening an infected document (AutoOpen), it', '\ninfects documents that are opened (FileOpen) and saved with new name', '\n(FileSaveAs).', '\n', '\nThe virus sets on the system timer a macro that shutdowns Word in a random', '\nselected time. On printing documents the virus replaces a string in Russian', '\nwith new one. The virus creates the section in Windows profile (WIN.INI', '\nfile):', '\n']"
VirWare,Virus,MSWord,Xenixos,https://threats.kaspersky.com/en/threat/Virus.MSWord.Xenixos/,"['\nIt is encrypted virus. It contains the macros:', '\n']"
VirWare,Virus,MSWord,Xute,https://threats.kaspersky.com/en/threat/Virus.MSWord.Xute/,"['\nThe virus contains one macro “AutoClose” in module “Xute”. It replicates on', '\nclosing documents by exporting/importing its code through the C:XUTE.DAT', '\nfile. On July 26th, or if the sum of the day and month numbers is equal to', '\n30, the virus executes the file deleting command “DELTREE /Y *.*”.', '\n', '\nAll text constants (export file name, DELTREE command etc.) are stored in', '\nthe virus code in encrypted form. In case of need, the virus decrypts and', '\nuses them.']"
VirWare,Virus,MSWord,Zashib,https://threats.kaspersky.com/en/threat/Virus.MSWord.Zashib/,"['\nThis virus contains four macros: AutoOpen, Knell, Mutagen', '\n(Normal:FileOpen), Zashib (Normal:FilePrint). It infects the global macros', '\narea on opening an infected document (AutoOpen), the documents get', '\ninfection also on opening. While printing a document at 16:xx the virus', '\nappends to the end of document a text in Russian.']"
VirWare,Virus,MSWord,Wordworm,https://threats.kaspersky.com/en/threat/Virus.MSWord.Wordworm/,"['\nIt is a dangerous Word macro virus. It contains three macros: AutoOpen,', '\nArquivoAbrir, ArquivoSalvarComo. The virus infects the global macro area on', '\nopening an infected document (AutoOpen), and writes itself to documents on', '\nopening (ArquivoAbrir) and saving with new (ArquivoSalvarComo) name.', '\n', '\nOn February and April 30 the virus displays the MessageBox:', '\n']"
VirWare,Virus,MSWord,Zero,https://threats.kaspersky.com/en/threat/Virus.MSWord.Zero/,"['\nThis is an encrypted German Word specific macro virus. It contains nine', '\nmacros:', '\n']"
VirWare,Virus,MSWord,ZMB,https://threats.kaspersky.com/en/threat/Virus.MSWord.ZMB/,"['\nThis is a German Word macro virus. It contains four macros: AutoOpen', '\n(NORMAL.DOT – ZMB), ExtrasMakro, DateiDrucken, DateiSpeichern.', '\n', '\nThe virus infects the global macros area (NORMAL.DOT) on opening an', '\ninfected document (AutoOpen) and writes itself to documents that are saved', '\n(DateiSpeichern).', '\n', '\nThis is stealth virus: it replaces Extras/Makro (Tools/Macro) menu with', '\nanother one. Depending on the system random counter the virus replaces the', '\nwords while printing documents.', '\n', '\nOn March 31st it erases the CONFIG.SYS, AUTOEXEC.BAT files and displays the', '\nMessageBox:', '\n']"
VirWare,Virus,MSWord,Zoolog,https://threats.kaspersky.com/en/threat/Virus.MSWord.Zoolog/,"['\nThis macro virus contains one macro AutoOpen and replicates on opening', '\ndocuments. The virus deletes all macros in global macros are (NORMAL.DOT).', '\nIt writes the line “beep=ZOOlog” to the Windows WIN.INI file and detects', '\nitself in the system by reading this string. The virus detects already', '\ninfected documents by “Document Author” string – “ZOOlog”.']"
VirWare,Virus,MSWord,Vovi,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vovi/,"['This is arather simple macro-virus, containing one macros:', 'and the following string label:']"
VirWare,Virus,MSWord,Wazzu,https://threats.kaspersky.com/en/threat/Virus.MSWord.Wazzu/,"['\nThis virus contains only one macro autoOpen and infects files when MS Word', '\nopens them, and copies its macros to Global area (NORMAL.DOT) when MS Word', '\nopens an infected document. The virus is not encrypted and may be easily', '\ndetected by scanning for text strings:', '\n', '\nIn detail: the virus has three subroutines in its macro:', '\n', '\n“Wazzu.b,i” differ from original one only by included comment:', '\n', '\n“Wazzu.d,f,q,w,ad” do not have both Payload and RndWord subroutines.', '\n“Wazzu.f” is a shortest virus in the family – its code (binary data in', '\ninfected file) has only 318 bytes of length.', '\n', '\n“Wazzu.e,h” are encrypted variants of original “Wazzu”. “Wazzu.h” is', '\nslightly corrupted and may halt MS Word or cause an error message.', '\n', '\n“Wazzu.g,r” are encrypted viruses. “Wazzu.g” contains EatThis subroutine', '\ninstead of original Payload. With probability 1/10 these viruses display a', '\nMessageBox with the text:', '\n', '\n“Wazzu.l” do not have any subroutines in macro except MAIN. With', '\nprobability 1/10 it appends the string ” wazzu!” to the end of document.', '\n', '\n“Wazzu.m,s” have no Payload subroutine, but call it. That will cause', '\nWord’s error message.', '\n', '\n“Wazzu.u,aa,ad” are the same as “Wazzu.a”, but do not insert the “wazzu”', '\nstring.', '\n', '\n“Wazzu.x” does not contains any subroutines except MAIN. It contains the', '\ntext:', '\n']"
VirWare,Virus,MSWord,Why,https://threats.kaspersky.com/en/threat/Virus.MSWord.Why/,"['\nThis virus contains only one macro, but while infecting copies it to two', '\nmacros in documents and to three macros in NORMAL.DOT:', '\n', '\nThe virus displays the DialogBox:', '\n']"
VirWare,Virus,MSWord,VisuaLand,https://threats.kaspersky.com/en/threat/Virus.MSWord.VisuaLand/,"['\nThis is an encrypted Word macro virus. It contains five macros: AutoOpen,', '\nFileOpen, MyMessage, VisuaLand, FileSaveAs.', '\n', '\nThe virus infects the global macros area (NORMAL.DOT) on opening an', '\ninfected document (AutoOpen) and writes itself to documents that are saved', '\n(FileSave). The virus also attempts to infect files that are saved with new', '\nname (FileSaveAs), but fails because of an error.', '\n', '\nOn 13th of any month it erases all files in current directory and displays the', '\nMessageBox:', '\n']"
VirWare,Virus,MSWord,Vhdl,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vhdl/,"['\nThis is an encrypted Chinese virus, it contains three macros:', '\n']"
VirWare,Virus,MSWord,Vicissitator,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vicissitator/,"['\nThis is a polymorphic Word macro virus. It contains only one macro in', '\ninfected documents – FileSave, but while infecting the system it creates', '\ntwo macros – FileSave and ToolsMacro (stealth). The virus replicates itself', '\nwhen documents are saved (FileSave). While infecting the virus creates the', '\nVicissitator macro, copies its code to there and edits it (polymorphic', '\nengine). The virus then copies to the document the result macro with name', '\nFileSave.', '\n', '\nWhile infecting NORMAL.DOT the virus writes the text to the ToolsMacro', '\nmacro:', '\n']"
VirWare,Virus,MSWord,Voce,https://threats.kaspersky.com/en/threat/Virus.MSWord.Voce/,"['\nThis contains two macros: AutoClose, AutoExit. The virus infects the system and', '\ndocuments upon closing files. Upon exiting Word, it displays the MessageBox:', '\n']"
VirWare,Virus,MSWord,WallPaper,https://threats.kaspersky.com/en/threat/Virus.MSWord.WallPaper/,"['\nThis is an encrypted macro virus. It contains two original macros, but', '\nwhile infecting global macros area the AutoOpen macro is copied to four', '\nmacros:', '\n', '\nThe virus drops the SK2.BMP file that contains an image of a death’s head.', '\n']"
VirWare,Virus,MSWord,Wannabe,https://threats.kaspersky.com/en/threat/Virus.MSWord.Wannabe/,"['\nThis is an encrypted Word macro virus. It contains one macro AutoOpen and', '\nreplicates itself when documents are opened. Only the files get infection', '\nthat are listed in the recently used file list, i.e. the virus does not', '\ncopy itself to global macros area.', '\n', '\nThe virus’ actual code is placed in document’s variable, and AutoOpen macro', '\ngets that code from variables, creates new macro HONOR, inserts code into', '\nit, executes and then deletes. The HONOR macro looks for documents in file', '\nlist and infects them.', '\n', '\nThe virus contains the comments:', '\n']"
VirWare,Virus,MSWord,Vicinity,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vicinity/,"['\nThis is an encrypted Word macro virus. It contains three macros: AutoOpen,', '\nExtrasMakro (stealth), QuickSilver. The virus replicates itself when', '\ndocuments are opened (AutoOpen).', '\n', '\nThe virus replaces the Tools/Macro menu, if there is no text “MFake = no”', '\nin the WIN.INI file in the [QuiteVicinity.02] section.  If Windows 3.1 is', '\ninstalled, the virus creates the C:SYSLOG1.BAT file and writes to there', '\nthe command that resets the ReadOnly attribute for some file. The virus', '\nthen writes the commands to the AUTOEXEC.BAT file:', '\n', '\nStarting from 1997 June 15 the virus creates the C:BOOTLOG.BAT file that', '\nis called by AUTOEXEC.BAT and writes the commands to there:', '\n']"
VirWare,Virus,MSWord,Vanoce,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vanoce/,"['\n', '\nThis macro virus contains seven macros:', '\n', '\n', '\nIt infects the global macros area on opening an infected document', '\n(AutoOpen), and writes itself to documents that also are opened. On', '\nDecember 24th virus displays the message:', '\n', '\n']"
VirWare,Virus,MSWord,Veneno,https://threats.kaspersky.com/en/threat/Virus.MSWord.Veneno/,"['\nThis is an encrypted Word macro-virus containing 12 macros: Veneno,', '\nTravel1, Travel2, AutoExec, AutoOpen, Trinitron, ArchivoAbrir,', '\nArchivoSalir, InsertVeneno, ArchivoImprimir, ArchivoGuardarComo,', '\nand ArchivoImprimirPredeter.', '\n', '\nThe virus infects the global macros area (NORMAL.DOT) upon the opening of an', '\ninfected document or Word startup (AutoOpen, AutoExec), and writes itself to', '\ndocuments that are saved with a new name(?) – the ArchivoGuardarComo macro.', '\n', '\nThe virus detects and removes macros of several other viruses.', '\n', '\nAt ??:30 sharp, the virus drops the DOS virus in the ATTRIB.COM file. On', '\nFriday and Saturday, if the system time (minutes) is less than 5 minutes past the hour,', '\nthe virus inserts the string “** V']"
VirWare,Virus,MSWord,Vacuity,https://threats.kaspersky.com/en/threat/Virus.MSWord.Vacuity/,"['\n', '\nThis stealth macro-virus contains eight macros in one module “Vacuity”:', '\nJj, FileTemplates, FormatStyle, ToolsMacro, ViewVBCode, Organizer,', '\nFileClose, DocClose.', '\n', '\nThe virus infects files and the global macros area on document closing', '\n(FileClose, DocClose). It turns off the Word virus protection (the', '\nVirusProtection option), disables File/Templates, Format/Style, Tools/Macro,', '\nOrganizer and Visual Basic Editor (Stealth)', '\n', '\nThe virus code contains the comment:', '\n', '\n']"
VirWare,Virus,MSWord,UnderGround,https://threats.kaspersky.com/en/threat/Virus.MSWord.UnderGround/,"['\nThis is an encrypted macro virus. It contains two macros. Their names are', '\nMacro7 and AutoClose in NORMAL.DOT. In documents their names are randomly', '\nselected: ']"
VirWare,Virus,MSWord,Unhas,https://threats.kaspersky.com/en/threat/Virus.MSWord.Unhas/,"['\nThis virus contains three identical macros that are named AutoOpen, JJAB,', '\nJJAO. The virus replicates itself on opening document (AutoOpen). It', '\ndisplays the MessageBox:', '\n']"
VirWare,Virus,MSWord,Urchin,https://threats.kaspersky.com/en/threat/Virus.MSWord.Urchin/,"['\nThis macro virus contains 3 macros: AutoExec, AutoOpen, FileSaveAs. It', '\ninfects the global area macros on opening an infected document (AutoOpen).', '\nDocuments get infection on saving with new name (FileSaveAs). The virus', '\ndoes not manifest itself in any way.']"
VirWare,Virus,MSWord,Uhrjap,https://threats.kaspersky.com/en/threat/Virus.MSWord.Uhrjap/,"['\n', '\nThese macro viruses contain different number of macros:', '\n', '\n', '\nThey infect the global macros area on opening an infected document. Other', '\ndocuments get infection on closing.', '\n', '\n“Uhrjap.b” is the stealth virus: on entering the Tools/Macro,', '\nTools/Customize or File/Templates menus the virus removes its macros from a', '\ndocument, and as a result its code is not visible in macro viewing menus.', '\n', '\nThe viruses have destructive payload. “Uhrjap.a” on each 20’th opening', '\nstarts a procedure that every 10 minutes counts the characters in the', '\ndocument. If the count it the same (haven’t changes during 10 minutes), the', '\nvirus renames all files in the root directory and first level directories', '\non the C:, D: and E: drives with the names “~TLPxxx.TMP”, where “xxx” is', '\nordinal number of file in a directory. The virus also runs this renaming', '\nprocedure with probability 2% on any document opening.', '\n', '\nThe “Uhrjap.b” virus on document opening or closing with probability 1/30', '\nsaves document with new password “uhrjap-uhrjap”, or prints document, or', '\ndeletes from document all space characters and replaces all digits with the', '\n“#” character.  It also with probability 1/50 activates its payload', '\nprocedure that is similar with “Uhrjap.a” virus: it renames all files in', '\nthe root directory and first level directories on the C:, D: and E: drives', '\nwith the name “~037xxx.TMP” where “xxx” is ordinal number of file in a', '\ndirectory.']"
VirWare,Virus,MSWord,Unseen,https://threats.kaspersky.com/en/threat/Virus.MSWord.Unseen/,"['\n', '\nThis is a very dangerous polymorphic macro-virus. It contains one macro', '\nDocument_Open and infects documents and global macros area on document', '\nopening. Depending on the system time and random counter, the virus corrupts', '\nthe first two sectors on the C: drive.', '\n', '\nThe virus has quite an unusual stealth routine. When a document is opened, the', '\nvirus moves its code from the macro area to the documents’ variables, and', '\nreplaces its code with a short macro program Document_Close that moves the', '\nvirus code back to the macro area from the document’s variables when the document', '\nis closed. As a result, the virus is invisible by using Word tools – when', '\nWord opens a document, the virus hides itself in the variables. When', '\na document is closed, the virus restores its code, and the document on the disk', '\nstays infected.']"
VirWare,Virus,MSWord,Uglykid,https://threats.kaspersky.com/en/threat/Virus.MSWord.Uglykid/,"['\nThis is a polymorphic Word macro virus. It contains one macro in documents:', '\nAutoOpen, and two macros in NORMAL.DOT: FileSave, ToolsMacro. The virus', '\ninfects the global macros area (NORMAL.DOT) on opening an infected document', '\n(AutoOpen) and writes itself to documents that are saved (FileSave).', '\n', '\nThe virus uses quite complex polymorphic engine – different infected files', '\nhave variable sets of commands in virus’ macros. The virus also uses quite', '\ncomplex way to hide its main code in documents and templates: the main', '\nvirus code is placed in AutoText area and virus’ macros just read it from', '\nthere, copy the text to macros area and execute it. This is the first known', '\nvirus that uses such way to hide itself.', '\n', '\nThe virus sets the user’s name to “Nasty”. The polymorphic engine has bugs,', '\nas a result it may produce corrupted code.']"
VirWare,Virus,MSWord,Typo,https://threats.kaspersky.com/en/threat/Virus.MSWord.Typo/,"['\nThis Word97 macro-virus contains one macro AutoOpen, and as a result, it', '\ninfects the system macro area and documents upon opening documents. Depending', '\non the system’s random counter, the virus pastes Header, pastes the full words', '\nAutoCorrect, changes colors in Toolbars etc.']"
VirWare,Virus,MSWord,TwoLines,https://threats.kaspersky.com/en/threat/Virus.MSWord.TwoLines/,"['\nIt is an encrypted macro virus. It contains five macros: MsRun, Autoexec,', '\nAutoClose, AutoOpen, FileSaveAs. The virus infects the global macros area', '\non AutoClose and AutoOpen. Depending on the system time it sets the system', '\ntimer event to the MsRun macro. Being executed this macro inserts two empty', '\nlines in current document.']"
VirWare,Virus,MSWord,TZ,https://threats.kaspersky.com/en/threat/Virus.MSWord.TZ/,"['\nThis Word macro virus contains 5 macros: AutoClose, AutoExec, AutoNew,', '\nAutoOpen, TZ.', '\n', '\nIt infects the global macros area on opening an infected document', '\n(AutoOpen). Documents get infection on opening, closing and creation', '\n(AutoOpen, AutoClose, AutoNew).', '\n', '\nThe virus detects itself by empty macros TZ. The virus does not manifest', '\nitself in any way.']"
VirWare,Virus,MSWord,Twno,https://threats.kaspersky.com/en/threat/Virus.MSWord.Twno/,"['\nThese viruses contain only one macro in infected documents – AutoOpen, but', '\nwhile infecting the system they copy it to three macros – AutoOpen,', '\nAutoNew and AutoClose. As a result, the virus infects the system on opening', '\nan infected document, and infects the documents that are opened, created or', '\nclosed.', '\n', '\nOn 13th of any month “TWNO.a” displays and inserts into current document', '\nthe messages in Chinese and:', '\n', '\n“TWNO.c” on created a new documet insert the text string:', '\n']"
VirWare,Virus,MSWord,Toten,https://threats.kaspersky.com/en/threat/Virus.MSWord.Toten/,"['\nThis is an encrypted Word macro virus. It contains two macros:', '\n', '\nDepending on the current date the virus sets password for files.', '\n', '\nThere are MessageBoxes in the virus, but they are not displayed because of', '\na bug. The texts in MessageBoxes looks as follows:', '\n']"
VirWare,Virus,MSWord,Twister,https://threats.kaspersky.com/en/threat/Virus.MSWord.Twister/,"['\nThis virus does not manifest itself in any way. It contains eight macros:', '\n', '\nThe virus contains commented strings:', '\n']"
VirWare,Virus,MSWord,Tomsk,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tomsk/,"['\nThe virus contain only one macro AutoOpen and replicates on opening', '\ndocuments. The virus does not manifest itself in any way, it contains the', '\ncomments:', '\n']"
VirWare,Virus,MSWord,Tm,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tm/,"['\nThis is a Chinese encrypted Word macro virus. It contains only one macro', '\nAutoOpen. It writes itself into global macros area and documents on the', '\nopening an document (AutoOpen). The virus also hooks timer events and calls', '\nAutoOpen macro each 5 minutes, i.e. each 5 minutes it tries to infect the', '\ncurrent document.']"
VirWare,Virus,MSWord,Titasic,https://threats.kaspersky.com/en/threat/Virus.MSWord.Titasic/,"['\nThis is a quite complex macro-virus consisting of about 400 lines of code, and it contains', '\nabout twenty macros and functions in one module “astia”. It replicates upon', '\ndocument opening. It also creates the infected templates SNRML.SRC and', '\nSNRML.DOT in the Word startup directory.', '\nThe virus under different conditions displays several messages and', '\nmanifests itself in several ways. For instance, upon the opening of the macro-diting', '\nWord menus, the virus displays MessageBox with Yes/No buttons:', ""\nOn “Yes”, the virus inserts the string “‘Macro non-Titasic'” into the"", '\ncurrent document.', '\n', '\nWithin 45 minutes following activation, it also manifests itself with a video', '\neffect.', 'This virus is very similar to the original one. The virus module has the “BmH”', '\nname, and upon opening the macro-editing Word menus, the virus displays a', '\nMessageBox with Yes/No buttons:', ""On “Yes”, the virus inserts the string “‘MacroWordBasic'” into the current"", '\ndocument.', 'In 15 minutes after activation, it also manifests itself with a video', '\neffect.', 'Upon opening an infected document, this virus infects the global macros area (Normal', '\ntemplate). Then it activates a timer that summons the main infection routine every', '\nseven minutes. This routine in an opened document deletes all macros, and then', '\ncopies the virus macros from the global macros area.', 'The virus blocks Visual Basic Editor from opening by requesting a password, which is', '\n“azizoke”.', 'Upon exiting Word, the virus checks the system time. If it is Friday or Sunday and earlier than 9:00 p.m., the virus displays following message:']"
VirWare,Virus,MSWord,Tunguska,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tunguska/,"['\nThis is an encrypted Italian macro virus. It contains eight macros:', '\nAutoExec, AutoOpen, FileApri, AutoClose, FileSalva, GuidaSupporto,', '\nFileSalvaConNome, GuidaInformazioni.', '\n', '\nThe virus infects the global macros area on opening an infected document', '\n(AutoOpen) and writes itself to documents on saving and saving with new', '\nname (FileSalva, FileSalvaConNome).', '\n', '\nThe virus creates two strings in the WINWORD6.INI file in [Microsoft Word]', '\nsection:', '\n', '\nThe virus contains the comments:', '\n']"
VirWare,Virus,MSWord,TheSecond,https://threats.kaspersky.com/en/threat/Virus.MSWord.TheSecond/,"['This Word97 macro-virus contains one macro, AutoClose, and as a result, it', '\ninfects the system macro area and documents upon closing documents. Before', '\na print of the document, the virus searches for a word Russian and', '\nreplaces it on other word.  After printing, it changes back.', 'The virus contains the following copyright string:']"
VirWare,Virus,MSWord,Thery,https://threats.kaspersky.com/en/threat/Virus.MSWord.Thery/,"['\nThis virus contains only one macro AutoClose and replicates on closing', '\nfiles. It deletes the macros that are named “virus111”. It contains the', '\ncomments:', '\n']"
VirWare,Virus,MSWord,Trud,https://threats.kaspersky.com/en/threat/Virus.MSWord.Trud/,"['\n', '\nThis virus contains one procedure “Document_Close” in one module. It', '\nreplicates upon document closing. While infecting, the virus turns off the', '\nWord anti-virus protection (the VirusProtection option).', '\n', '\nThis virus has a generation counter, and runs its payload routine when', '\nthe generation counter exceeds 69. This routine is activated upon document closing,', '\nand displays an assistant balloon with the following message:', '\n', '\n', '\nwith three buttons:', '\n', '\n', '\nAfter choosing any of them, the virus inserts to the beginning of the document', '\nthe following text:', '\n', '\n', '\nThis text is formatted with in green with a font size of 24.', '\n', '\nThis virus has stealth functions: it disables the “Tools/Macro” menu and', '\nviewing Visual Basic code. It also has an expanded payload routine. Before', '\ndisplaying the assistance balloon, it inserts into a document 36 shapes, “smiley', '\nface”, of different colors.']"
VirWare,Virus,MSWord,Thebman,https://threats.kaspersky.com/en/threat/Virus.MSWord.Thebman/,"['\nThis macro virus contains four macros in documents and five in NORMAL.DOT:', '\n', '\nOn printing documents the virus replaces the “s” symbols with “t”. The', '\nvirus contains the comments:', '\n']"
VirWare,Virus,MSWord,Uscan,https://threats.kaspersky.com/en/threat/Virus.MSWord.Uscan/,"['\n', '\nThis macro-virus contains six macros in one module “Uscan”: AutoOpen,', '\nAutoNew, FileOpen, UScan, intUAppVer, blnUScanSearch.', '\n', '\nIt infects the global macros area upon opening an infected document', '\n(AutoOpen), and infects other documents upon opening or creating (FileOpen,', '\nAutoNew). While infecting, the virus checks user initials and if they are', '\n“AF”, the virus displays the following message:', '\n', '\n', '\nThe virus turns off the Word virus protection (the VirusProtection option).', '\n', '\nThe virus code contains the following comments:', '\n', '\n']"
VirWare,Virus,MSWord,Thao,https://threats.kaspersky.com/en/threat/Virus.MSWord.Thao/,"['\n', '\nIt is quite simple macro virus. It contains two macros: FileOpen and', '\nAutoClose. On successful infection it displays the MessageBox:', '\n', '\n']"
VirWare,Virus,MSWord,TenFaces,https://threats.kaspersky.com/en/threat/Virus.MSWord.TenFaces/,"['\nThis is an encrypted macro virus. It contains three original macros, but', '\nwhile infecting it copies it with 8 different names to global macros area', '\nand with 4 names to documents. While copying the virus selects random name', '\nto hide its macros:', '\n', '\nThe virus infects the system on AutoOpen call and writes itself to files on', '\nAutoClose. Macro3 is a payload macro and it disables Tools/Macro,', '\nTools/Customize and File/Templates menus as well as Organizer. On these', '\ncalls the virus displays the MessageBox:', '\n', '\nThe virus also creates new variables in system profiles (WIN.INI file) in', '\n[Intl] section:', '\n']"
VirWare,Virus,MSWord,Tele-Sex,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tele-Sex/,"['\nIt is an encrypted virus. It contains seven macros:', '\n', '\nOn DateiDrucken (FilePrint), if current seconds < 10, the virus adds to the\nend of document the string:\n']"
VirWare,Virus,MSWord,Temple,https://threats.kaspersky.com/en/threat/Virus.MSWord.Temple/,"['\nThis macro virus contains four macros that have different names in', '\ndocuments and NORMAL.DOT:', '\n', '\nThe virus does not manifest itself in any way.']"
VirWare,Virus,MSWord,Tedious,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tedious/,"['\nThis virus contains four macros: AutoNew, vAutoNew, FileSaveAs,', '\nvFileSaveAs. It infects the global macros area and documents on both', '\nAutoNew and FileSaveAs calls. The virus does not manifest itself in any', '\nway.']"
VirWare,Virus,MSWord,Techno,https://threats.kaspersky.com/en/threat/Virus.MSWord.Techno/,"['It is a stealth macro-virus. It contains twenty procedures in one module', '\n“VrTechnoCode”: VrInstall, AutoOpen, AutoExec, FileOpen, FileNew,', '\nFileNewDefault, FileSaveAs, FileSave, FileClose, DocClose, ViewVBCode,', '\nToolsMacro, FileTemplates, ToolsOptions, VrStealth, IsChance, FilePrint,', '\nFilePrintDefault, AddOemInfo, CreateImageScreen.', 'The virus infects the global macros area on opening an infected document', '\nand infects other documents on opening, creating and saving. On closing', '\na document, the virus sets the document protection type to', '\nwdAllowOnlyFormFields that denies any changes in the document text except form', '\nfields. On opening infected documents, the virus unprotects them, and on', '\nclosing, protects them again. As a result, after disinfection, documents will', '\nstay protected. This protection may be removed manually by choosing the', '\nmenu Tools/Unprotect, password is “Elite”.', 'The virus turns off the Word virus protection (the VirusProtection option).', '\nThe virus’ stealth routine intercepts and prevents the opening of Visual Basic', '\nEditor, Tools/Macro and File/Templates dialogue boxes. With a probability of one', '\nin five, this routine displays MS Office Assistent with the message:', 'The virus infecting routine, with probability of one in nine, creates, in the', '\n“C:WindowsSystem” directory, the “oeminfo.ini” file with the text:', 'With probability five percents the infection procedure inserts into', '\ndocuments a graphic shapes with text:', 'The virus contains another payload routine – on printing the virus with', '\nprobability 20 percents sends to printer the content of the “Autoexec.bat”', '\nfile instead of active document.', 'The virus code contains comment:', 'This is the next generation of the virus. There are several minor changes in', '\nthe code. The password for infected documents in this virus version has been', '\nchanged to “Mirochka”.']"
VirWare,Virus,MSWord,Tear,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tear/,"['\nThis is an encrypted macro virus. It contains two macros: AutoOpen and', '\nFileSaveAs. The virus infects the global macros area on opening an infected', '\ndocument (AutoOpen) and writes itself to documents on saving them with new', '\nname (FileSaveAs). While opening any document the virus displays the', '\nMessageBox:', '\n']"
VirWare,Virus,MSWord,Testarea,https://threats.kaspersky.com/en/threat/Virus.MSWord.Testarea/,"['\nThis macro virus contains only one macro AutoClose and replicates on', '\nclosing a document. While infecting the virus saves the “backup” copy of', '\ndocument to the O:COMPSERVTESTAREA directory and saves the “report”', '\ninformation to the LOG.VRS file in the same directory: ']"
VirWare,Virus,MSWord,Theatre,https://threats.kaspersky.com/en/threat/Virus.MSWord.Theatre/,"['\nThese are encrypted viruses, they contain the macros:', '\n', '\n“Theatre.a”:', '\n']"
VirWare,Virus,MSWord,Target,https://threats.kaspersky.com/en/threat/Virus.MSWord.Target/,"['\nA silly not encrypted virus. It contains one macro autoOpen and just', '\ninfects the global macros area and documents on AutoOpen. The length of', '\nvirus binary image is just 256 bytes.']"
VirWare,Virus,MSWord,TheEraser,https://threats.kaspersky.com/en/threat/Virus.MSWord.TheEraser/,"['\nThe virus contains two macros: AutoOpen, TheEraser. It replicates on', '\ndocuments opening (AutoOpen).', '\n', '\nOn the 5th of any month it erases the files:', '\n']"
VirWare,Virus,MSWord,Tanggal,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tanggal/,"['\nThis virus contains two macros:', '\n', '\nOn the 1st of each month, it displays the following MessageBox:', '\n']"
VirWare,Virus,MSWord,Tabulator,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tabulator/,"['\nThis macro virus contains five macros:', '\n']"
VirWare,Virus,MSWord,Taguchi,https://threats.kaspersky.com/en/threat/Virus.MSWord.Taguchi/,"['\nThe virus contains two macros: AutoClose, nigro. It infects the system', '\nmacros area and document upon closing files (AutoClose). On February 19th, it', '\ninsert into documents the text string:', '\n']"
VirWare,Virus,MSWord,Tamago,https://threats.kaspersky.com/en/threat/Virus.MSWord.Tamago/,"['\nThis macro virus affects the system on closing an infected documents and', '\ncopies itself to documents are closed or saved with new name. It contains', '\nseven macros:', '\n']"
VirWare,Virus,MSWord,Sword,https://threats.kaspersky.com/en/threat/Virus.MSWord.Sword/,"['\nThis macro virus contain six macros: autoOpen, FileClose, AutoExec,', '\nFileExit, FileSave, FileOpen. It infects global macros area and documents', '\non opening, closing and saving files. Depending on the system random', '\ncounter the virus replaces random selected word in current document with', '\nrandom selected string.']"
VirWare,Virus,MSWord,ThisDocument,https://threats.kaspersky.com/en/threat/Virus.MSWord.ThisDocument/,"['\nThis virus contains six macros in one module “ThisDocument”: AutoExec,', '\nAutoOpen, FileSaveAs, FileTemplates, ToolsMacro, ViewVBCode.', '\n', '\nThe virus infects the global macros area on opening an infected document, and', '\nwhile infecting, the virus also exports its code to the C:THISDOC.LOG file', '\nand displays the MessageBox:', '\n']"
VirWare,Virus,MSWord,Sveta,https://threats.kaspersky.com/en/threat/Virus.MSWord.Sveta/,"['\nThis virus contains two macros: AutoOpen, Sveta. It replicates on opening', '\ninfected documents (AutoOpen): it searches for documents in FileList', '\n(recently used files list) and infects them. So the virus is “nonmemory', '\nresident” – it is active only when infected document is being opened, and', '\nAutoOpen macro takes control. When it releases control, the virus does not', '\nintercept any events and does not infect files (if, of course, NORMAL.DOT', '\nor some another auto-loaded template is not listed in FileList).', '\n', '\nOn activating at 13 seconds (i.e. on opening an infected document) the', '\nvirus displays to the StatusBar the message:', '\n']"
VirWare,Virus,MSWord,Supers,https://threats.kaspersky.com/en/threat/Virus.MSWord.Supers/,"['\nIt is an encrypted macro virus. It contains one macro AutoOpen and infects', '\nsystem and documents on opening. On Friday 13th it writes to the', '\nC:AUTOEXEC.BAT file the commands:', '\n']"
